,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
359,Shimoda,34.6667,138.95,286.48,87,23,5.95,JP,1617142732
360,Port Blair,11.6667,92.75,299.69,78,82,1.2,IN,1617142530
361,Ghazīpur,25.5833,83.5667,297.59,18,0,4.22,IN,1617142732
362,Atikokan,48.7555,-91.6216,269.73,55,100,7.25,CA,1617142733
363,Pathein,16.7833,94.7333,296.32,94,6,2.14,MM,1617142733
364,Gravdal,68.1214,13.5031,277.68,76,33,8.56,NO,1617142733
365,Cururupu,-1.8283,-44.8683,297.13,96,98,1.24,BR,1617142733
366,Ayan,56.45,138.1667,267.6,84,100,2.83,RU,1617142734
367,Nyagan,62.1406,65.3936,268.23,97,99,2.39,RU,1617142734
368,Okha,53.5739,142.9478,269.29,91,100,8.51,RU,1617142734
369,Sijunjung,-0.6876,100.9537,294.17,93,80,1.17,ID,1617142735
370,Souillac,-20.5167,57.5167,296.15,94,40,3.6,MU,1617142735
371,Salinópolis,-0.6136,-47.3561,298.64,89,100,4.09,BR,1617142735
372,Isabela,6.7085,121.9711,298.15,94,90,1.03,PH,1617142736
373,Houma,29.5958,-90.7195,300.37,78,75,8.75,US,1617142736
374,Salas,43.4118,-6.2602,289.15,59,0,1.54,ES,1617142736
375,Santa Maria,-29.6842,-53.8069,291.4,80,61,1.67,BR,1617142736
376,Humberto de Campos,-2.5983,-43.4611,297.84,93,98,2.07,BR,1617142737
377,Sambava,-14.2667,50.1667,299.05,84,100,1.52,MG,1617142737
378,Tuatapere,-46.1333,167.6833,287.59,98,65,1.34,NZ,1617142737
379,Matagami,49.7502,-77.6328,286.15,35,75,7.72,CA,1617142738
380,Winneba,5.3511,-0.6231,301.15,89,20,4.63,GH,1617142632
381,Sulzbach-Rosenberg,49.4983,11.7517,282.59,75,1,0.5,DE,1617142738
382,Aranda de Duero,41.6704,-3.6892,285.3,50,9,3.08,ES,1617142738
383,Vila Franca do Campo,37.7167,-25.4333,288.15,82,20,3.6,PT,1617142739
384,Avera,33.194,-82.5271,294.15,78,75,3.09,US,1617142739
385,Lake Shasta,40.6804,-122.3708,295.15,13,1,7.2,US,1617142739
386,Flagstaff,35.1981,-111.6513,288.15,8,1,3.6,US,1617142739
387,Rājgīr,25.0333,85.4167,297.15,57,12,2.95,IN,1617142740
388,Zamora,-4.0692,-78.9567,292.95,99,100,0.67,EC,1617142740
389,Laguna,38.421,-121.4238,299.15,11,1,10.29,US,1617142599
390,Serra Branca,-6.5333,-38.2667,298.8,68,95,3.4,BR,1617142740
391,Umluj,25.0213,37.2685,294.66,56,0,4.83,SA,1617142741
392,Karratha,-20.7377,116.8463,301.89,52,12,3.45,AU,1617142741
393,Ranong,9.9658,98.6348,299.29,87,43,2.77,TH,1617142741
394,Boa Vista,2.8197,-60.6733,299.15,83,75,3.09,BR,1617142742
395,Okhansk,57.7186,55.3877,272.15,55,0,5.0,RU,1617142742
396,Enshi,30.3,109.4833,289.24,92,98,1.01,CN,1617142742
397,Kapit,2.0167,112.9333,295.63,99,100,0.34,MY,1617142742
398,Montrose,38.4166,-108.2673,279.26,16,3,9.39,US,1617142743
399,Tiksi,71.6872,128.8694,253.4,99,100,2.92,RU,1617142743
400,Megion,61.0296,76.1136,253.15,84,20,2.0,RU,1617142743
401,Sioux Lookout,50.1001,-91.917,265.15,67,90,6.17,CA,1617142744
402,Nome,64.5011,-165.4064,265.15,79,75,2.06,US,1617142744
403,Sorong,-0.8833,131.25,299.37,84,86,3.04,ID,1617142744
404,Goderich,43.7501,-81.7165,288.15,38,100,9.77,CA,1617142745
405,Ippy,6.2679,21.2247,298.21,46,46,1.57,CF,1617142745
406,‘Ewa Beach,21.3156,-158.0072,302.15,51,75,4.63,US,1617142745
407,Port Augusta,-32.5,137.7667,290.93,88,4,2.06,AU,1617142746
408,Ocós,14.5094,-92.1933,306.15,55,40,6.17,GT,1617142746
409,Broken Hill,-31.95,141.4333,290.15,42,3,1.54,AU,1617142746
410,Sergeevka,53.88,67.4158,255.76,100,92,2.83,KZ,1617142746
411,Mossamedes,-15.1961,12.1522,296.77,85,99,2.84,AO,1617142747
412,Kochi,9.9399,76.2602,299.15,94,40,1.54,IN,1617142700
413,Zhigansk,66.7697,123.3711,265.34,93,100,6.22,RU,1617142747
414,Leshukonskoye,64.8989,45.7622,274.51,94,100,5.38,RU,1617142747
415,Saint-Joseph,-21.3667,55.6167,299.15,73,0,2.57,RE,1617142748
416,São José da Coroa Grande,-8.8978,-35.1478,299.66,81,93,4.54,BR,1617142748
417,Chernyshevskiy,63.0128,112.4714,254.87,99,99,1.97,RU,1617142748
418,Lamu,-2.2717,40.902,301.15,83,20,2.06,KE,1617142500
419,Gēdo,9.0167,37.45,288.03,63,99,1.6,ET,1617142749
420,Marzuq,14.4,46.4667,293.43,26,78,2.66,YE,1617142749
421,Yeniseysk,58.4497,92.1703,266.8,92,100,3.44,RU,1617142749
422,Rafaela,-31.2503,-61.4867,292.53,66,0,1.53,AR,1617142750
423,Mahabalipuram,12.6264,80.1722,300.15,83,20,2.06,IN,1617142750
424,Kawalu,-7.3817,108.2082,295.99,95,99,0.62,ID,1617142518
425,Vestmanna,62.1564,-7.1664,275.15,75,75,4.12,FO,1617142750
426,Strezhevoy,60.7333,77.5889,253.15,84,20,2.0,RU,1617142751
427,Lypnyazhka,48.4469,31.0761,277.65,65,75,2.47,UA,1617142751
428,Longonjo,-12.9067,15.2533,289.24,96,100,1.01,AO,1617142751
429,Mount Gambier,-37.8333,140.7667,284.15,93,90,2.57,AU,1617142752
430,Piaçabuçu,-10.4056,-36.4344,299.48,83,55,4.76,BR,1617142752
431,Noyabrsk,63.1994,75.4507,243.48,100,89,2.33,RU,1617142752
432,Rancho Palos Verdes,33.7445,-118.387,295.15,49,1,2.06,US,1617142753
433,Mâncio Lima,-7.6142,-72.8958,297.15,94,75,2.06,BR,1617142753
434,Bandarbeyla,9.4942,50.8122,298.46,67,95,3.71,SO,1617142753
435,Shimabara,32.7833,130.3667,284.15,71,0,1.54,JP,1617142753
436,Ushumun,52.7833,126.5333,266.56,87,9,3.02,RU,1617142754
437,Oussouye,12.485,-16.5469,296.15,94,0,3.09,SN,1617142754
438,Passau,48.5712,13.449,283.71,66,3,1.18,DE,1617142754
439,Steamboat Springs,40.485,-106.8317,273.15,29,90,5.66,US,1617142748
440,Atambua,-9.1061,124.8925,295.57,91,99,2.37,ID,1617142755
441,Vieques,18.425,-65.8329,300.15,74,75,9.26,PR,1617142755
442,Puerto Colombia,10.9878,-74.9547,303.15,66,0,7.72,CO,1617142755
443,Lorengau,-2.0226,147.2712,301.53,71,100,2.46,PG,1617142756
444,Reghin,46.7742,24.7022,276.15,75,70,1.03,RO,1617142756
445,Grindavik,63.8424,-22.4338,274.15,69,0,2.06,IS,1617142756
446,Siilinjärvi,63.0833,27.6667,276.15,65,0,6.17,FI,1617142756
447,Hasaki,35.7333,140.8333,288.15,67,75,4.63,JP,1617142757
448,Yangjiang,21.85,111.9667,296.25,97,66,2.35,CN,1617142757
449,Hokitika,-42.7167,170.9667,290.75,74,81,1.13,NZ,1617142757
450,Liberta,17.0333,-61.7833,298.15,78,75,5.14,AG,1617142758
451,Altay,47.8667,88.1167,266.56,52,12,3.32,CN,1617142758
452,Patancheru,17.5314,78.265,299.82,52,19,1.54,IN,1617142624
453,Prieska,-29.6641,22.7474,298.58,36,40,4.22,ZA,1617142758
454,Waycross,31.2136,-82.354,299.15,57,90,2.57,US,1617142759
455,Botou,38.0667,116.5667,284.98,47,80,1.66,CN,1617142759
456,Praia,14.9215,-23.5087,294.15,73,75,6.17,CV,1617142759
457,Yeppoon,-23.1333,150.7333,296.15,68,34,5.14,AU,1617142759
458,Puquio,-14.7,-74.1333,286.23,82,94,3.52,PE,1617142760
459,Hīt,33.6416,42.8251,291.29,19,27,4.65,IQ,1617142628
460,Umm Kaddadah,13.6017,26.6876,293.56,13,0,6.02,SD,1617142760
461,San Jose,37.3394,-121.895,298.15,12,1,5.14,US,1617142701
462,Pakenham,-38.0667,145.4833,288.71,90,73,0.45,AU,1617142761
463,San Cristobal,7.7669,-72.225,300.15,57,75,6.17,VE,1617142761
464,Sehore,23.2,77.0833,298.18,25,1,3.15,IN,1617142761
465,Shache,38.4167,77.2406,280.91,19,94,3.45,CN,1617142762
466,Ketchikan,55.3422,-131.6461,280.15,87,90,4.12,US,1617142762
467,Rome,34.257,-85.1647,299.15,41,1,5.14,US,1617142552
468,Los Llanos de Aridane,28.6585,-17.9182,291.15,59,0,2.06,ES,1617142762
469,Bilibino,68.0546,166.4372,252.18,94,49,1.24,RU,1617142763
470,Ambanja,-13.6833,48.45,297.13,93,32,1.6,MG,1617142763
471,Gabane,-24.6667,25.7822,290.15,72,0,0.51,BW,1617142763
472,Daru,-9.0763,143.2092,297.92,95,100,4.37,PG,1617142764
473,Glendive,47.1053,-104.7125,272.15,31,40,13.38,US,1617142764
474,Yumaguzino,52.9041,56.3933,272.58,89,96,1.07,RU,1617142750
475,Deming,32.2687,-107.7586,299.15,6,1,11.83,US,1617142764
476,Lagoa,39.05,-27.9833,288.08,75,96,2.68,PT,1617142765
477,Dubti,11.7361,41.0853,302.3,20,22,4.89,ET,1617142765
478,Longyan,25.1072,117.0225,294.55,96,100,1.74,CN,1617142765
479,Annau,37.8876,58.516,281.15,61,20,1.03,TM,1617142513
480,Agara,42.0376,43.8238,277.24,80,12,4.01,GE,1617142766
481,Khandyga,62.6667,135.6,255.0,98,78,0.6,RU,1617142766
482,Las Vegas,36.175,-115.1372,294.26,6,1,5.68,US,1617142532
483,Yumen,40.2833,97.2,275.13,97,99,0.95,CN,1617142766
484,Tongzhou,39.9053,116.5994,284.26,81,0,2.0,CN,1617142767
485,Raja,8.4596,25.678,298.8,19,99,2.2,SS,1617142767
486,Ipixuna,-1.7625,-48.8043,300.15,89,20,2.06,BR,1617142767
487,Pevek,69.7008,170.3133,249.09,97,95,3.93,RU,1617142767
488,Narsingdi,23.9208,90.7181,300.15,74,75,4.12,BD,1617142768
489,Sur,22.5667,59.5289,300.57,40,0,1.33,OM,1617142768
490,Pangnirtung,66.1451,-65.7125,255.15,71,75,8.23,CA,1617142768
491,Shreveport,32.5251,-93.7502,299.15,78,90,3.09,US,1617142586
492,Llanes,43.4198,-4.7549,291.48,57,51,2.69,ES,1617142769
493,Adré,13.4667,22.2,295.52,12,0,6.45,TD,1617142769
494,Quatre Cocos,-20.2078,57.7625,298.71,94,40,3.6,MU,1617142769
495,Neiafu,-18.65,-173.9833,302.15,79,40,4.12,TO,1617142770
496,Bubaque,11.2833,-15.8333,297.51,73,80,9.35,GW,1617142770
497,Camacha,33.0833,-16.3333,290.15,82,40,1.54,PT,1617142770
498,Larvik,59.0533,10.0352,282.15,81,40,5.14,NO,1617142771
499,Sacramento,38.4666,-121.3177,299.15,16,1,8.75,US,1617142508
500,Maceió,-9.6658,-35.7353,299.15,89,75,3.09,BR,1617142771
501,Nacala,-14.5428,40.6728,296.91,81,32,3.63,MZ,1617142771
502,Dalbandin,28.8947,64.4101,289.65,13,0,1.77,PK,1617142772
503,Hirtshals,57.5881,9.9592,281.48,93,75,7.72,DK,1617142772
504,Shakhtinsk,49.71,72.5872,266.15,86,75,1.0,KZ,1617142772
505,Hervey Bay,-25.2986,152.8535,293.71,91,68,1.79,AU,1617142773
506,Amrāvati,20.9333,77.75,300.27,17,66,3.96,IN,1617142773
507,Evensk,61.95,159.2333,265.52,63,100,5.67,RU,1617142773
508,Kuvandyk,51.4781,57.3552,266.87,96,76,1.17,RU,1617142773
509,Harwich,51.9419,1.2844,283.15,70,2,2.47,GB,1617142774
510,Torquay,50.4638,-3.5143,282.59,1,32,1.82,GB,1617142774
511,Lucea,18.451,-78.1736,302.15,70,20,8.75,JM,1617142774
512,Simi,9.5667,-12.35,298.85,78,100,0.53,SL,1617142775
513,Kudahuvadhoo,2.6708,72.8944,301.55,76,100,7.77,MV,1617142775
514,El Alto,-4.2714,-81.2147,302.15,48,0,4.12,PE,1617142775
515,Namuac,18.6109,121.1657,297.88,88,68,1.44,PH,1617142775
516,Shingū,33.7333,135.9833,285.73,70,0,2.39,JP,1617142776
517,Hendaye,43.3717,-1.7738,293.15,67,0,1.03,FR,1617142776
518,Koppang,61.5706,11.0555,275.15,90,100,1.62,NO,1617142776
519,Lazarev,52.225,141.5131,267.88,87,94,2.55,RU,1617142777
520,São Félix do Xingu,-6.6447,-51.995,297.11,91,52,1.19,BR,1617142703
521,Tabunok,10.7786,124.0122,300.15,83,90,4.12,PH,1617142777
522,Linjiang,41.8069,126.9078,276.35,64,40,1.05,CN,1617142778
523,Matara,5.9485,80.5353,298.95,87,90,3.02,LK,1617142778
524,Port Hardy,50.6996,-127.4199,283.15,66,75,5.14,CA,1617142778
525,Kosa,59.9445,54.9977,272.37,75,100,5.62,RU,1617142779
526,Sihorā,23.4833,80.1167,297.55,16,2,2.68,IN,1617142779
527,Tautira,-17.7333,-149.15,304.15,62,20,4.63,PF,1617142779
528,Wewak,-3.5534,143.6268,299.19,86,100,1.62,PG,1617142780
529,Seybaplaya,19.65,-90.6667,310.15,26,40,7.72,MX,1617142780
530,Broome,42.2506,-75.833,289.15,33,1,7.72,US,1617142780
531,Severo-Yeniseyskiy,60.3725,93.0408,260.84,95,100,2.92,RU,1617142781
532,Syracuse,37.0881,15.2792,287.15,93,0,2.57,IT,1617142781
533,San Fernando del Valle de Catamarca,-28.4696,-65.7852,297.04,69,13,3.13,AR,1617142781
534,Balkhash,46.844,74.9804,272.83,79,94,1.89,KZ,1617142782
535,Semey,50.4111,80.2275,268.33,95,90,1.47,KZ,1617142782
536,Hudiksvall,61.729,17.1036,277.95,65,100,2.0,SE,1617142782
537,Sanford,28.8006,-81.2731,300.93,61,90,5.66,US,1617142578
538,Waipawa,-41.4122,175.5153,291.15,88,100,4.12,NZ,1617142783
539,High Level,58.5169,-117.136,268.15,54,1,1.54,CA,1617142783
540,Kirakira,-10.4544,161.9205,301.85,74,49,2.83,SB,1617142783
541,Eirunepé,-6.6603,-69.8736,296.6,97,93,1.85,BR,1617142680
542,Beloha,-25.1667,45.05,291.97,77,10,1.47,MG,1617142784
543,Kabanjahe,3.1001,98.4908,298.15,100,40,1.54,ID,1617142784
544,Batticaloa,7.7102,81.6924,299.48,84,100,4.9,LK,1617142784
545,Anking,30.5092,117.0506,289.99,96,100,1.3,CN,1617142784
546,Moree,-29.4667,149.85,293.15,56,40,6.69,AU,1617142785
547,Altagracia de Orituco,9.8601,-66.3814,299.72,66,85,3.82,VE,1617142785
548,Parrita,9.5201,-84.3225,300.15,57,40,7.72,CR,1617142785
549,Predivinsk,57.0669,93.4378,269.51,87,100,4.95,RU,1617142786
550,San Quintín,30.4833,-115.95,291.4,62,1,5.28,MX,1617142786
551,Khāsh,28.2211,61.2158,284.8,23,0,2.18,IR,1617142786
552,Sittwe,20.15,92.9,299.17,81,93,4.08,MM,1617142786
553,Gamba,-2.65,10.0,298.72,87,100,2.51,GA,1617142787
554,Nouadhibou,20.931,-17.0347,291.15,88,0,5.14,MR,1617142787
555,Martha Lake,47.8509,-122.2393,285.93,46,20,2.06,US,1617142787
556,Santa Clarita,34.3917,-118.5426,301.48,9,0,5.81,US,1617142406
557,Sabang,5.8933,95.3214,300.78,74,100,10.02,ID,1617142788
558,Grimshaw,56.1834,-117.6027,274.15,55,75,5.66,CA,1617142540
